,x
ABCF2,0.430508487417963
RPL7L1,0.429283613007563
SUZ12,0.428505020310855
ERCC6L,0.424630446200865
GTSE1,0.424488219804282
GRWD1,0.424133296225754
NDFIP1,0.423640332474726
WDR43,0.42354456239152
BRIX1,0.423462458413539
UPP1,0.422868029775525
FBL,0.422384813718423
CIP2A,0.422130254569488
KIFC1,0.421911289812559
C7orf50,0.42139245929323
SCAMP4,0.421237930455721
SGPP1,0.420390856153293
H1-5,0.419724082347145
DNAJB12,0.418859925158024
URGCP,0.418518043930732
MED14,0.417080315939604
RSL24D1,0.417006951449832
DHFR,0.414744916826312
NES,0.413560208301661
AKT1S1,0.412822916766704
PPP1R10,0.411907380798567
NIP7,0.411542296203489
ZNF143,0.411028648366965
SF3B4,0.410490332902313
MED1,0.41044753584131
GLRX3,0.409438565036204
PHRF1,0.408570125293934
SMC2,0.408072421079567
GPRC5A,0.407816525355688
RANGAP1,0.406773002949677
PRPF3,0.405570621488391
RTL8C,0.404503423652823
ATP5MF-PTCD1,0.403766984798402
BAIAP2L1,0.403557849266612
CASP3,0.403335818348395
CAPRIN1,0.402957380175518
CHRAC1,0.40209840572523
CAV1,0.40124243214056
NSUN5,0.400929332786539
BTF3,0.399598039930339
BAZ1B,0.398049458119925
CDK12,0.397153964380536
GRSF1,0.396854450123048
NFXL1,0.396001985517689
RRP1B,0.395682204116856
TPRKB,0.395665271057087
PLSCR1,0.395377491023527
RRM2,0.394861813052369
WDR33,0.394547453937975
HIGD2A,0.394399427010033
EPB41L2,0.393578078314022
POLR1A,0.392724779253196
PLS1,0.39213780588738
ALG13,0.391594859253505
PRIM1,0.3910874158105
HRNR,0.389825733907259
IQCE,0.388850962955338
LRPPRC,0.388706998573728
XRCC1,0.38634662719593
RNF40,0.385825061756837
TMEM51,0.385580940989893
UTP14A,0.385298100292506
CDK2,0.384967215439289
TACC3,0.38436398063055
PPP1CC,0.383565873274119
RPL35,0.383460815497649
TOX4,0.383399092468572
ELAC2,0.382170178900722
BOLA2,0.381667141230395
FIP1L1,0.381432776919958
ZNF706,0.380549214896007
RIOX2,0.379976255771695
APOBEC3C,0.379313060113738
STMN2,0.377561308323358
ELOVL1,0.377465745187688
MCMBP,0.377451721698861
TIA1,0.37705461963084
DHX38,0.376215439765986
MDN1,0.375622482152171
RPL5,0.375379921259771
C9orf78,0.37524737398445
RBM17,0.375142229314829
POP1,0.373798285509771
DNAJB6,0.373416862026104
TOR1B,0.37301067163839
SNRPD1,0.371569313818558
RPL15,0.371417483670253
TDP1,0.37000732763136
GNL1,0.369612649621548
HECTD1,0.369384861725109
HEATR3,0.368541938449351
STRBP,0.36843437995373
EIF4A1,0.368056891450813
NOL6,0.368042456796541
DDX27,0.367836162260037
NGDN,0.367617986928639
RPS8,0.367452173485432
MFGE8,0.367236166936884
PPP1R14A,0.366880272355438
DNAJC7,0.365671905081179
SIRT1,0.365368374519448
DCUN1D5,0.365220317848156
PTMS,0.364939908908035
NOP58,0.364888714187995
TSEN34,0.364857909910572
FKBP14,0.364168537259989
TIMP1,0.363700300138294
LRRC59,0.36346968399334
CNOT10,0.363335175731379
DDX3X,0.363075915522703
BUD23,0.362466210066714
WDR74,0.362107226551423
ELOF1,0.362027575346676
RPUSD2,0.361894977492451
NFAT5,0.361881322922926
MTREX,0.361117024416721
BAG3,0.360941153967708
LUZP1,0.360924863727693
NME7,0.360255147110685
TMPO,0.359512742044153
IPO8,0.358708372590591
NUP50,0.358382417353237
RPIA,0.358236039331533
RBIS,0.358069140971939
SLC29A1,0.357970758566658
UBE2C,0.357610588891575
RPS2,0.356260497447558
NFKBIB,0.354819654327141
MEN1,0.354664162460587
RBBP4,0.354518445723809
COL1A1,0.353924353625011
DCAF13,0.35379810304611
RPS27A,0.353700039973276
POLR1H,0.352913871492721
WDR46,0.35257931823201
TFRC,0.352314685184851
EIF3F,0.351738353194342
